Keyword Phrase,Search Volume,Search Volume Trend (%),Search Frequency Rank,Search Frequency Rank Trend (%),Top 3 ASINs Total Click Share,Top 3 ASINs Total Click Share Trend,Top 3 ASINs Total Conv. Share,Top 3 ASINs Total Conv. Share Trend,Top 1 ASIN,Top 1 ASIN Click Share,Top 1 ASIN Click Share Trend,Top 1 ASIN Conv. Share,Top 1 ASIN Conv. Share Trend,Top 2 ASIN,Top 2 ASIN Click Share,Top 2 ASIN Click Share Trend,Top 2 ASIN Conv. Share,Top 2 ASIN Conv. Share Trend,Top 3 ASIN,Top 3 ASIN Click Share,Top 3 ASIN Click Share Trend,Top 3 ASIN Conv. Share,Top 3 ASIN Conv. Share Trend,Competing Products,Top 3 Clicked ASINs Monthly Average Age,Top 3 ASINs Total Monthly Sales,Top 3 ASINs Total Monthly Revenue,Top 3 ASINs Total Review Count,Top 3 ASIN Total Average Rating
music stand,52706,93.7,6546,41,43.3,11.4,37.8,9.1,B0BNPN2RQT,19.3,7.4,18.7,6.6,B07D5KK26W,13.1,2.5,10.7,0.7,B083FPFZJG,10.9,1.5,8.3,1.7,605,52,9397,192000.5,26508,4.6
bible cover,52706,27.7,5877,14,15.1,1,9.1,4.1,B0B4MRQ5PD,5.4,0,1.7,-0.4,B0CMX8LM9Y,5.3,0.8,3.7,1.6,B0CQ22JY5M,4.4,0.2,3.6,2.9,10000,,4486,66738.81,1093,4.6
portable printer,52706,2.8,6991,-2,32.9,1.3,24.2,1.8,B085VMW9YD,12.7,-0.8,9.1,1,B0C81DZTX4,10.7,-0.1,10.2,1.6,B0CCVGD5TJ,9.5,2.2,4.8,-0.7,2000,29,6291,1097771.93,6769,4.3
macbook air case,52706,45.8,6091,31,26.1,6.1,13.3,5.9,B085S36QQL,11.1,0.9,2.6,0.2,B0B7H3V2V7,10.1,4.7,8.2,4.4,B0B7DMG6F5,4.9,0.5,2.6,1.3,2000,36,,,62365,4.3
lps,52706,45.6,5867,36,30.2,6.2,13.8,-8.3,B0CS1F9XD1,15.1,6.6,7.1,2.3,B08ZXRHSDT,9.1,1.2,3.9,-0.2,B0CQPLQLR3,6,-1.6,2.8,-10.5,2000,16,2852,82073.57,486,3.9
tart cherry juice,52706,50.8,7474,24,63.5,2.1,54.8,0.3,B074H5BV2Y,46.4,0.8,41.5,0.1,B000RAF7F6,8.7,-1.2,7.7,-1.1,B07C33SSLY,8.3,2.4,5.6,1.3,396,86,18022,217698.14,15659,4.6
cottonelle toilet paper,52706,2.8,5859,-5,50.1,-3.5,45,0.1,B0CM5C15ZD,19,-0.6,15.5,3.6,B0CKV7B49Z,16.3,-2.9,16.9,0,B0CM4NXMV2,14.8,0,12.6,-3.4,512,9,230221,5862768.48,190315,4.8
money saving box,52706,0.8,5850,6,23.5,-10,17.1,6.7,B0D1GDVHY1,9.2,-16.8,3.1,-5.7,B0D2GY16JS,8.1,4.4,8.3,7,B0D2BHDQGW,6.2,2.5,5.7,5.4,40000,6,10784,141734.02,302,3.9
good omens,52706,2.8,5569,14,47.4,0.3,0,0,B089XW1Z6Y,17.7,-2.1,0,0,B089XYRZM8,15.4,-0.8,0,0,B089P3ZXT1,14.3,3.2,0,0,451,,,,,
living room curtains,52706,4.6,5728,11,17.8,-0.2,4.2,0.3,B09QKMGXZM,6.6,-2.6,1.2,-0.9,B0BWDK5RNZ,6,1.1,1.5,0.3,B015SJ7RYY,5.3,1.3,1.5,0.9,20000,52,55786,1260640.66,61162,4.7
pepcid,52706,8.3,5831,11,44,-5.6,38.9,-4.3,B0000X02TQ,21.4,0.4,18.1,0.1,B00006J3G2,11.4,-3.4,10.6,-2.3,B08V8BL7WF,11.2,-2.7,10.1,-2,197,172,107566,2155009.92,55420,4.8
chastity cage,52706,4.6,5756,15,27.4,4,14.6,3.6,B0CP8VYZT8,16.4,4.8,8.3,2.2,B0CNX9DCKY,5.8,-2.4,1.9,-0.1,B0D1MY9H2Q,5.3,1.6,4.4,1.4,2000,9,,,392,4.4
hereditary,52706,-2.7,5388,1,93.6,0,0,0,B0BQJKZ2Z2,84.9,-0.7,0,0,B0BQJJ6J59,7.1,0.4,0,0,B0B8JYL1LR,1.6,0.3,0,0,178,,,,,
usbc to usbc,52705,1.1,5880,-16,43.3,1.7,30.4,2.4,B088NRLMPV,20.6,-1.2,17,-0.4,B01GGKZ2SC,16.6,0.9,8,0.1,B0BPC6TTNX,6.1,1.9,5.3,2.7,9000,55,,,49600,3.1
car wash soap,52704,4.5,5988,4,45.2,-3.4,39.9,-1.3,B001GJ9K8C,24.3,2.9,22.7,2.7,B0C62J4CSY,11.6,-2.1,11.7,-2.8,B071RKWXKV,9.3,-4.2,5.5,-1.2,847,109,48972,737576.87,58433,4.6
water bottle stickers,52704,50.8,5859,32,27.7,6.2,16.4,5.4,B09FHMBC47,11.5,1.5,7.4,2.5,B093BKMK4X,9.4,3.3,4.6,0.2,B08D34T584,6.8,1.4,4.5,2.7,20000,42,31506,231580.63,17488,4.7
paw patrol birthday decorations,52704,6.5,5592,9,27.3,-0.8,13.9,0.4,B08N6YPXVN,10.2,0,7.1,4.8,B0B3LC772W,8.7,-0.9,5.2,-1,B09RDDTCHT,8.4,0.2,1.6,-3.3,1000,35,921,20013,2867,4.6
sriracha,52704,48.3,6047,32,29,-0.3,24.7,0.1,B0C5R2CVHM,15.7,4.7,12.8,3.7,B00JQK9RXG,7.2,-2.5,5.9,-2.2,B0014E4G0Q,6.1,-2.4,5.9,-1.5,641,100,11603,147596.74,18230,4.7
windshield repair kit,52704,2.7,5843,2,51.2,1.4,43.9,2.4,B00IPS4APU,31.1,2.9,28.5,2.7,B000ALJ4MY,15.4,-1.7,12.1,-0.7,B0D6VZDKYH,4.6,0.2,3.2,0.4,740,,39923,511697.03,56219,4.1
apple sauce,52704,31.3,5704,24,30.6,-0.8,30.1,1.3,B074H4WS2N,14.7,-1.8,15.1,-2,B01EOW6OK4,8.6,0.2,7.3,0.5,B07FYTPK5C,7.4,0.8,7.7,2.8,231,63,33491,219659.06,44082,4.7
windows laptop,52704,-13.6,5684,-7,18.7,-1.2,11.7,-1.3,B0CJB5N9BQ,7.3,-1.9,4.9,-0.1,B0B2D77YB8,6.3,0.8,3.8,-0.6,B09VZR2BGN,5.1,-0.2,3,-0.6,10000,24,7956,2098483.11,3413,4.1
the fall,52704,6.3,6809,5,51.4,-8.8,0,0,B084TLWWYT,19.6,-2.8,0,0,B0CV5ZKT5C,17,-1.9,0,0,B084TLPFTJ,14.8,-4.1,0,0,80000,,,,,
maybelline superstay lipstick,52704,36.3,6091,18,27.5,-12,4.1,-1.1,B09QH8148N,11.9,-4.9,2.8,0.5,B07W59CNXQ,9.7,-3.2,0.8,-0.1,B08H3QV41W,5.9,-3.9,0.6,-1.4,303,46,125187,1146939.11,299316,4.4
e6000 glue,52704,33.3,5927,25,51.4,3.4,46.3,11.9,B00JP3X9WE,36.1,6.3,34,10.4,B07QJDJYC6,9.1,-1.8,7.3,-0.9,B07MWH2Q4Z,6.2,-1.2,5.1,2.4,363,86,25118,138949.45,12076,4.6
imaginary,52704,-26,6777,-21,97.7,1.3,0,0,B0CV27LQQX,92.5,0.8,0,0,B0CV27X1L5,3.9,0.4,0,0,B0CV2C9Y96,1.3,0.1,0,0,1000,,,,,
color wow,52704,-61.3,6216,-117,55.1,-5.5,39.6,-10.8,B073CWSQ51,34.2,-4.3,24.2,-5,B00G187CP6,13.1,1.4,9.4,-1.9,B094PCH9ZZ,7.8,-2.6,5.9,-3.9,10000,125,149659,4017491.72,114167,4.1
1/2 inch binders 3 ring,52704,96.9,6948,57,45.5,9.1,41.1,8.7,B0006HV1LE,25.8,4.4,29.2,5.2,B09Q4SJNWJ,14.8,4.6,9.4,3.6,B0CHR88DJ2,4.9,0.1,2.5,-0.1,860,88,57164,406356.34,15400,4.7
itunes gift card email delivery,52704,-2.4,5313,11,89,0.8,80.5,2,B08F3C99KN,66.5,-0.7,70.3,-1,B08B3PL6B1,13.4,-1.4,0.4,0,B08F3BV69X,9.2,2.8,9.8,3,16,46,,0,,
barbell protein bar,52704,27.4,6137,10,55.4,8.4,44.8,10.7,B09PYB4MQS,26,3.7,23.6,2.9,B0BL1TDB9P,16.7,4.1,9.1,4,B08NWGLKS8,12.7,0.6,12.1,3.8,505,39,126348,3884090.58,30042,4.5
galaxy s24 case,52704,8.4,5664,15,22,-0.7,11.7,-0.8,B0CPLHLPSN,10.4,0.8,6.6,0.5,B0CQKQRZZ4,6.9,0,2.6,-1.2,B0CM4RFSHN,4.8,-1.5,2.6,-0.1,9000,9,25094,477850.36,5215,4.6
samsung galaxy s24 case,52704,23.2,5856,18,23.7,0,12.4,0.3,B0CPLHLPSN,9.4,-1.9,6.4,-1.1,B0CQKQRZZ4,8.4,1,3.5,0.4,B0CP3XXLN2,5.8,0.9,2.5,1,9000,10,37169,656407.67,10439,4.5
crossbow,52702,41,5950,30,26.6,-1.5,26.6,7.9,B084WPWTBM,13.9,2.2,13.6,8.9,B07YQ3L36H,7.9,-0.7,7.3,-0.4,B079Y16M5V,4.8,-2.9,5.7,-0.5,7000,65,1237,187613.53,3476,4.2
gym bag for women,52702,23.4,5914,8,20.5,1.1,6.3,2.5,B0B6PPKPP4,9.3,0.4,3.7,2.1,B0B1P5QMP9,5.7,0.2,1.6,0.6,B09W2G325H,5.6,0.4,0.9,-0.2,10000,,26354,720463.85,14782,4.6
water bottle stainless steel,52702,29,6176,18,20,3.8,3.9,1.7,B09GD4YBCY,9.7,1.1,1.3,-0.1,B01KXHIWL8,7.3,2.9,1.3,0.6,B09RVRLKNT,2.9,-0.2,1.3,1.2,10000,69,107174,2349584.17,82671,4.6
wall hooks,52702,40.9,5808,25,17.6,0.5,14,1.2,B0000CFLYU,7.7,0.8,7.9,1.8,B0B2F55P76,5.4,-0.1,3.3,0.5,B074Y4V445,4.5,-0.3,2.8,-1.1,10000,111,159516,1225488.03,126950,4.6
lactaid,52702,28.7,5699,16,57.9,0.4,52.6,3.1,B000052XB5,23,-1.5,21.6,-0.2,B07XJVNNM1,19.9,-1.9,17.9,-1.6,B0009RF9K0,15,3.9,13.1,5,204,159,85416,1333256.93,59284,4.8
acoustic guitar,52702,25.6,5959,15,22.4,-0.5,12.9,-0.8,B0CSLR3M7G,13.9,1.7,9.3,1.7,B073XC3Y5J,4.7,-0.7,2.7,-0.1,B01LAVHNZW,3.9,-1.4,0.9,-2.3,1000,64,3470,363495.14,8459,4.4
baby book,52702,6.5,5818,5,34.8,-0.7,9.9,-1.3,B0CNTK1P9M,16.2,-4.4,3,-1.1,B09LRK8WLJ,12.8,2.6,5.7,0,B0D31X911J,5.8,1.1,1.3,-0.1,90000,15,17860,500346.04,4958,4.7
laundry detergent pods,52702,45.6,6200,23,33.7,1.8,32,3.2,B0BJMV9BXJ,15.1,0.5,14.6,0,B076GSJV59,11.7,0.6,11.6,0.7,B0BSJS8WKB,6.9,0.7,5.9,2.5,425,43,135231,3386087.72,32562,4.8
book lights for reading at night,52702,6.6,5837,5,38.6,-0.8,26.2,-0.2,B08GG42WXY,15.3,0,13.2,0.6,B07N2W2FRZ,11.7,-2.4,4.9,-0.6,B0C3BC4QG2,11.6,1.6,8.2,-0.3,467,41,70952,867048.06,72664,4.7
jackets for women,52702,77.3,7266,38,5.2,-6.3,0.4,-0.1,B09DPGCRFT,2.1,-2,0.3,0.3,B003NX8CPQ,1.6,-2.2,0.1,-0.4,B09DPGWGFZ,1.5,-2,0,0,90000,,51925,975167.93,53394,4.5
goldfish crackers,52702,48.3,6068,27,42,-1.2,38.2,-1.6,B0BZB51C1R,20.4,-1.2,18,-2.2,B0116WQ62G,11.5,-0.8,9.5,-2.6,B079LJBZ6V,10.2,0.8,10.7,3.2,310,69,76861,880093.01,34167,4.8
loft bed,52702,6.5,5854,-1,24.6,6.1,12.9,-4.3,B09BKBFY1L,9,2.3,0,-6.2,B09993TS7G,8.3,2,8.9,2.7,B0CKYLMK11,7.3,1.8,3.9,-0.7,2000,30,2309,530437.68,2145,4.4
litter genie,52702,4.6,5637,3,64.5,2.6,53.9,3.5,B007IRMTXE,34.3,4.2,30.2,4.7,B019W0OH48,16.7,-0.5,14.1,0.7,B0C7LRR4W4,13.5,-1.1,9.7,-1.9,343,91,25852,617224.56,45427,4.6
air force 1s men,52702,6.6,5716,12,30.7,-2.2,5.5,-1.4,B07LCNZXQD,11.9,-1.7,3.4,-1.1,B0C39HGVRT,10.7,-2.1,0,0,B01HK4Y3KG,8.1,1.5,2.1,-0.4,300,,10730,739224.59,20403,4.5
dim supplement,52701,25.6,6097,17,50.1,-2.5,40.3,-0.9,B006KL4TYG,32.1,-0.8,22.6,0,B01HQR0RZW,12.6,-0.6,13,-0.3,B07NCJH91H,5.4,-1.1,4.6,-0.6,532,107,41469,936329.01,40293,4.4
grinder,52701,2.8,6134,13,27.5,-0.4,22.3,-2.5,B0CP2LLZFL,12.6,-2.8,10.7,-4.9,B0CWFGGNK2,9.5,1.9,8,1.9,B0D66CBNTG,5.4,0.6,3.6,0.6,100000,7,9577,105010.81,858,4.3
cat fountain,52701,-2.3,5686,-4,29,2.2,18.3,-0.3,B08NCDBT7Q,16.3,-0.5,9.7,-0.8,B0C9JPHRD5,7.3,2.2,4,-0.3,B07MKSC82B,5.5,0.5,4.6,0.8,2000,44,102049,2594871.84,48381,4.4
fire extinguisher,52701,-2.4,6105,-9,49.6,10.9,45.6,10.3,B07D6QGQYB,25.9,0.9,25.9,2.2,B01LTICQYE,12.1,4.3,12,5.2,B07B9BNN24,11.6,5.7,7.7,2.9,548,133,46344,1465768.83,78550,4.8
cross necklace for men,52701,8.3,5589,15,14.8,-0.6,6.3,0.4,B0CDS1RMKR,6.5,0.5,4.1,2.8,B089H14SSN,4.3,-0.5,0.9,-1.2,B0B6SBGWD1,4.1,-0.5,1.3,-1.2,7000,,8494,120654.26,2692,4.5
cameras for photography,52701,-25.8,6053,-36,26.9,1.3,11.3,0.3,B07C2Z21X5,12.7,1.3,2.2,-0.3,B0D3TRLJP3,7.8,-1,6.7,3,B0CFZRPQMZ,6.5,1,2.4,-2.4,4000,29,4277,1180840.52,8365,4.4
iphone se screen protector,52701,27.6,5765,18,54.9,0.6,52.6,2.4,B07QQZDDR4,31,7.9,30.8,10.3,B01LGY2P56,13.1,-6.2,11.9,-7.1,B07G1CFWS3,10.8,-1.2,9.8,-0.8,377,75,41914,283833.49,146213,4.5
desk drawer organizer,52701,34.2,6003,23,23.8,-4.2,14.4,-5.1,B08KXKVT4K,10.5,-5,6.3,-5.4,B09DPGBFP6,6.7,-0.1,4.8,0.1,B0CCDJQ7MM,6.7,0.9,3.2,0.3,5000,34,104025,1874387.37,32306,4.6
maternity shorts,52701,-43.9,7139,-119,13,-1.6,2.9,-0.6,B0CSYT8J3G,4.7,-1.2,0.6,-0.2,B08B81T94C,4.5,0.1,1.3,-0.2,B08B7X8KFK,3.7,-0.5,1,-0.1,30000,,11576,184190.06,14525,4.4
jean jacket women,52701,71.4,6756,32,6.7,-7.2,3.6,1.4,B012OV0QTW,2.7,-5.3,1.6,1.6,B0B67K5SCB,2,-1.9,0.2,0.2,B012OV0QM4,2,0,1.8,-0.4,2000,,15019,569148.64,41767,4.5
uv resin,52701,7.3,5821,10,29.8,3.2,21.8,3.4,B09GXQYC2G,14.4,5,8.9,3.5,B0B5GDWJPV,8.5,-0.5,6.9,1.2,B09DY82K8W,6.9,-1.4,6.1,-1.3,2000,34,13320,163713.99,6992,4.6
fart spray,52701,-13.7,5976,1,61.8,-0.5,59,0.1,B08SGZ81D5,28.5,-1.3,22.3,-2.7,B000OCEWGW,23.4,2.1,27.8,3,B002IY4EGM,9.9,-1.3,8.9,-0.3,167,154,11478,133911.23,38102,4.4
boho curtains,52701,4.6,5871,0,19.8,0.2,2.5,-2.7,B09HY5PH37,10.3,-0.4,2,-0.4,B0BCKWZNCH,5,0.6,0.2,-1,B0B8CLCBS9,4.4,0,0.3,-1.3,3000,29,3065,91015.25,1151,4.7
kindle accessories,52701,-43.8,5413,-73,20.6,-0.8,10.2,-1.8,B0CMX7JML7,7.3,-3.2,1.9,-2.8,B0CGJ1CPP6,7,1,6,4.9,B0D25HPLLF,6.3,1.4,2.3,-3.8,9000,11,,,2018,4.7
propel powder packets,52701,10.4,5840,9,56.7,14.5,54.9,17.4,B0789FRV55,48.5,18,52.4,21.8,B0BPN7HK83,4.3,-1.7,1.3,-3.5,B0D32F7Z7G,3.9,-1.9,1.2,-0.9,252,35,40370,690863.65,31729,3.2
iphone xr,52701,4.6,5535,7,50,-1.4,33.4,-3.8,B07P6Y7954,36.4,-2.2,24,-3.3,B07T1LXD8P,9.4,1,8,-0.3,B088N8TF64,4.2,-0.1,1.4,-0.2,223,62,,0,,
hammock with stand for outside,52701,-50.2,6236,-94,33.3,9.5,15.8,6.1,B0D7VSHSN5,15.6,5.8,4.1,-0.8,B08KRGRGXW,13.5,5.1,10,7,B086C4MJG8,4.1,-1.3,1.7,-0.1,631,36,6026,445363.22,19454,4.5
stanley cup straw cover,52701,40.9,5822,24,18.1,3.4,16.2,5.8,B0CL583PYR,9.2,1.9,10.6,3.3,B0CMHHTCBV,5,1.1,3.4,0.6,B0CYQ6RXY9,3.9,0.5,2.2,1.9,5000,10,35022,194013.61,2252,4.6
rose water,52699,4.6,5807,4,39.6,2.4,31,1.8,B0002JHGYC,16.6,-1.3,13.3,1.2,B00V8TRZG4,12.7,1.5,11.7,1.3,B0C5DTHG1B,10.3,2.2,6.1,-0.7,816,147,31418,507145.28,22128,4.4
tire shine,52699,20.6,6238,13,42.7,9.6,38.9,9.1,B01N51MWNZ,16.5,2.6,13.8,2.1,B06Y5L9W65,14.6,4.8,12.2,3.9,B000EOVLR8,11.5,2.2,12.9,3.1,566,,23821,253240.95,28251,4.6
saffron,52699,69.5,6987,34,48.3,1.9,43.8,3.9,B072K71972,22.3,5.1,21.8,7.5,B0BZK4TJV7,13.2,-3.4,10.7,-2.7,B079BQQVY7,12.9,0.2,11.3,-0.8,1000,76,14691,176398.04,28330,4.6
water pump,52699,-13.7,5549,-6,20.4,4.5,14.4,1.6,B07L54HB83,8.5,1.6,5.4,0.5,B09ZV2364K,7.2,2.1,6.8,2.1,B08CY69X5V,4.8,0.8,2.2,-1,100000,58,16186,632579.63,30753,4.3
benzoyl peroxide,52699,15,5750,14,50.3,4.4,44.3,2.7,B081KL2QYJ,25.3,-2.8,21.1,-4.5,B07Z9Y2QHZ,16,6.7,16.9,9.8,B00D6XHH4U,9,0.5,6.2,-2.5,267,82,107929,1076187.88,67197,3
thermos kids water bottle,52699,4.7,6238,21,32.5,-2.3,8.5,-1.4,B09WG64Y5V,17.5,-4.6,3.1,-2.2,B00DAPQV0K,8.5,0.7,3.1,0.6,B08VFGRB7J,6.6,1.5,2.3,0.2,1000,71,136590,2135781.85,202299,4.7
cooling mattress topper,52699,-25.8,5621,-33,39.8,7,16.3,5.7,B0CP9CH2DM,24.4,10,12.1,8.2,B01MYN9K5B,8.8,-1.4,2.7,-1,B081V5MV2K,6.6,-1.6,1.6,-1.5,1000,54,131291,6877509.42,157569,4.4
mens bracelet,52699,23.2,5909,8,15.7,2.9,9.5,3.4,B0B7QSPV63,6.3,1.7,3.1,0.5,B0C4NKM6K4,5.1,0.6,4.1,3.1,B0CYSXQH1Z,4.4,0.6,2.3,-0.2,40000,,6176,84440.41,1209,4.3
futon couch,52699,23.4,6195,5,13.9,-0.8,15.3,5.4,B086RKPN2V,7.6,0.8,10.8,1.5,B0D6YRL9Z9,3.5,-0.7,4.2,3.9,B09NLRDV9V,2.8,-0.8,0.3,0,3000,31,6770,950348.24,4634,3.7
red pepper,52699,5.4,5851,14,77.3,0.8,76.1,2.2,B000RGYJQI,42.8,5,42.4,5,B08K4BFY2V,27.7,3,27.8,3.5,B000P6L42C,6.8,-7.2,6,-6.2,2000,120,79,148.64,34054,4.8
saving private ryan,52699,-50.2,5540,-55,96.2,1.7,20,20,B00BW7HSZK,88.5,4.2,0,0,B008CBZX7E,7.1,1.2,0,0,B07B12HNN1,0.6,-3.7,20,20,254,,1053,21088.63,33225,1.5
super beets,52699,1,5699,3,61.3,-1.5,50.9,2.4,B07SRK1F3Y,39.8,0.8,30.8,1.9,B0BMPR69TW,15,1.1,15,0.3,B01ENMEXO4,6.5,-3.5,5.1,0.3,594,61,124619,4380096.55,103719,4.4
french fries,52699,7.4,5777,21,27.1,1.8,24.5,1.4,B074H61M18,12.5,1,12.1,0.4,B08NMJG63B,7.4,0.1,6.7,0.8,B000YFZYYS,7.1,0.7,5.7,0.2,181,95,24,127.14,14952,4.5
polly pocket,52699,-2.2,5498,-2,28.5,3.4,15.9,-7.5,B0CCSZWMW1,12.3,2.8,2.9,-10.3,B0CMGDHD1Z,8.8,-0.5,8.2,-0.4,B09CFSD4LC,7.5,1,4.8,3.2,452,17,6674,251516.98,3943,4.7
stargate,52699,8.3,6057,22,33.4,-9.7,0,0,B07MJ1PCL4,14.4,-5,0,0,B00CS67UKW,11.1,-5.3,0,0,B00BZBZR2Y,8,0.6,0,0,1000,,,,,
business casual tops for women,52699,50.8,6368,29,7.8,2.4,0.2,-0.6,B0D3WSNHWG,3.6,1.7,0,-0.1,B0D3W6M741,2.6,0.8,0,-0.4,B0BRRTHFMH,1.7,-0.1,0.2,0,20000,,34889,856809.78,1874,4.5
black shower curtain,52699,27.6,5935,16,32.2,5,25.4,8.3,B09TX5WW9T,19.2,7.8,17,6.4,B09CYNM7M8,7.1,-1.9,6.8,4.5,B01IHDAFVK,5.9,-0.8,1.5,-2.6,7000,55,72501,1227084.77,16900,4.4
cr2025 battery,52699,40.9,6223,24,58.8,-7.7,53.2,-10.6,B00L4EEQCY,26.5,-9.3,26.3,-8.7,B08J4SX2QV,22,1.6,17.5,-1.9,B096YXGV69,10.3,0,9.4,0,348,73,36131,188770.7,14395,3.1
snoopy,52699,45.8,6388,28,17.9,3.7,11.3,0.3,B018FIQLME,8,0.9,6.2,0.4,B07BZKPLW6,6.4,2,2.6,1.7,1608177769,3.5,0.8,2.5,-1.8,5000,,8103,188650.53,9016,3.2
elvis,52697,4.5,6922,8,63.3,-0.4,0,0,B0B8TRNGQS,52.3,-2.1,0,0,B00GCZGRMM,6.5,1.8,0,0,B000QJPED8,4.5,-0.1,0,0,7000,,,,,
bar stools set of 4,52697,1.6,5788,-5,12.7,4.3,15.4,6.7,B0CNK12TJD,5.9,1.6,8.1,1.7,B0CP1PW4X3,4.5,2.4,4.1,2.5,B0CQC9BPGK,2.3,0.3,3.3,2.5,2000,11,9772,1145072.29,1220,4.3
baseball,52697,-35,5678,-75,17.1,3.4,30.8,6.9,B00AWVNPMM,10.8,2.4,23.8,5.2,B0000CA8WW,3.7,0.6,7,1.7,B07PJ4S5HN,2.6,0.5,0,0,100000,,8790,173835.35,20965,3.1
workout equipment,52697,-21.8,5690,-20,14.6,4.3,12.3,5.9,B0CRR1XXC4,6,2.1,7.1,3.2,B0CNZ11SVW,5,1.4,4.4,2.4,B08M3LQ4ZC,3.5,0.8,0.8,0.4,100000,,11687,462031.54,2887,4.4
black hair dye,52697,8.3,5923,17,26.9,-1,23.9,-2.9,B01829EORK,10.3,-0.4,10,-0.4,B07BVXBSPV,9.8,-0.1,10.1,-0.8,B09LXVP4K2,6.8,-0.5,3.9,-1.6,2000,73,80810,1103756.89,108668,4.5
ergonomic keyboard,52697,5.6,5644,13,27.6,0.8,22.1,-0.2,B0BTNY72VD,14.1,-0.6,12.5,-0.8,B07ZWK2TQT,7.9,1,5.3,-0.4,B075GZVD4T,5.7,0.4,4.3,1,10000,51,,,46106,4.5
wine rack,52697,4.6,5827,6,12.8,0.4,10.9,4,B0BFXC9DGD,4.4,-0.3,3.3,-0.1,B0BYWTXTHF,4.2,-0.1,3.5,1.9,B09HKS68J6,4.2,0.8,4.1,2.2,4000,26,2563,79251.76,1422,4.5
microwave ovens,52697,-2.6,5691,-9,27.6,2.6,25.1,0.6,B072JML2GZ,11.6,1.5,11.8,0.9,B07HGH1KG6,10.5,0.9,7.8,-0.8,B071WCB1T6,5.6,0.2,5.5,0.6,718,81,45062,4693226.78,112977,4.4
bathroom vanity with sink,52697,23.4,6653,1,11.9,1.1,5.2,-1.8,B0CNVW3455,5,-0.7,3.7,-2.3,B099XCR3LL,3.5,0.8,0.5,0.2,B0CPFLNX6K,3.5,1,1.1,0.3,4000,22,1268,375775.13,1020,4.1
dyson cordless vacuum,52697,-64.5,5921,-124,43.9,5.9,30,-4.8,B09YS9N7H2,27.7,8.4,16.3,-0.4,B00FZPRUTY,10.3,0.1,11,-0.5,B0C2J8KJH9,6,-2.7,2.8,-4,768,16,20469,7883112,5367,4.5
saw palmetto for men,52697,23.3,5973,15,46.3,3.6,35.3,2.7,B01LQPZ8BS,26.4,3,17.3,1.9,B07SSVC2LB,13.6,0.5,11.7,0.8,B002Y27KEQ,6.3,0.1,6.3,0,880,114,43666,813537.01,46129,4.5
bubble,52697,2.8,5772,-13,55.4,4.1,35.7,9.2,B0BSZ23FTF,35.5,0.7,23.2,4,B0BSYX57T2,10.2,1.7,5.3,1.1,B0BSYJYQY2,9.8,1.8,7.2,4.2,10000,21,27806,410023.4,5640,4.6
shower rod,52697,26.9,5769,13,28.3,-3.1,18.5,-1.1,B0C6KHGK42,10.5,-1.3,8.9,1,B0CWNYL263,9.5,-1.3,4.9,-1.7,B09SJ5KFQ5,8.3,-0.4,4.8,-0.4,1000,16,33405,637249.28,1989,2.9
jack ryan,52697,-35,6173,-58,43.7,3.8,0,0,B089PWRYQL,18.9,2.4,0,0,B089TVN27Q,13.3,0.2,0,0,B089TVPMZX,11.4,1.2,0,0,1000,,,,,
cluster eyelash extensions,52697,8.3,5882,9,30.2,-2.7,16.4,-1.3,B0C74B6XN8,14.4,-0.3,7.6,-1,B0CQKVFVHH,10.1,-2.2,5.2,-1.9,B0CKPHKV88,5.7,-0.2,3.6,1.5,4000,12,103697,1256805.51,13687,4.2
skims dupe,52697,-20.5,5685,-11,12,3,4,3,B0BW2XQCQQ,7.6,4.3,3.3,3.2,B0B1LVKJ4Q,2.3,-0.7,0.3,-0.5,B0CYH6S8R4,2.1,-0.6,0.5,0.3,2000,,165229,4619350.03,41534,4.3
c,52695,-35.1,6441,-47,55,-12.9,0,0,B0B6Q6P352,21.6,-9,0,0,B0BZX1HJ7L,21,0.9,0,0,B0CVFZ819W,12.5,-4.8,0,0,100000,,,,,
roach killer,52695,40.9,5752,28,36.2,1.5,29.2,0.9,B00730QW70,21.6,1.7,15.5,2.8,B000KL1LDE,7.8,-0.2,8.5,0.5,B0148W0WOE,6.8,0,5.2,-2.4,1000,159,105167,2579589.07,141568,4.4
nutribullet,52695,-25.8,5595,-20,52,-0.4,49.3,-2.5,B0CHX9K2TV,36.2,1.4,35.8,3.1,B012T634SM,8.1,-4,6.1,-10.2,B0BZK4TZJ2,7.7,2.2,7.4,4.6,1000,59,42538,1768177.9,159130,4.5
hair catcher shower drain,52695,28.9,6153,18,39.9,2.8,26.7,1.5,B07PBV7D48,17.4,-4.5,10.2,-3.3,B0BWN4W84F,14.4,6,12.2,5.6,B07PB6ZX9Y,8.1,1.2,4.3,-0.8,2000,52,71565,690152.91,124418,4.3
sandals men,52695,-26,5660,-44,7.9,1.6,2,0.6,B07F7FQ3QR,3.1,0.5,1.1,0.8,B08R3GHLNH,2.5,0.6,0.5,-0.4,B0BZWVHTNW,2.3,0.5,0.3,0.3,6000,,99707,1460344.59,21224,4.3
ice roller for face,52695,4.5,5820,-5,37.8,1,27.5,1.9,B0CP39FLF2,15.4,-0.3,13.2,-0.1,B09P88SVSR,12.6,0,7.1,1.1,B0BCQ1NY5F,9.8,1.3,7.2,0.9,334,37,13506,87544.28,10263,4.5
